link_key,fragment_id,norm_id,boe_id_context,delegated_institution_label,designated_role_title,reasons_csv,candidate_rank_for_link,candidate_score,candidate_relevance_bucket,autofill_confidence,candidate_boe_id,candidate_doc_url,candidate_publication_date,candidate_publication_date_iso,candidate_department,candidate_title,candidate_person_hint,role_token_overlap,institution_token_overlap,institution_overlap_min,institution_overlap_ok,suggested_reviewed_designated_actor_label,suggested_reviewed_enforcement_evidence_date,suggested_reviewed_source_url,suggested_reviewed_evidence_quote,recommended_action,review_status,review_note
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,institutional_designated_actor,1,29,medium,medium,BOE-A-2003-23115,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-23115,17/12/2003,2003-12-17,Ministerio del Interior,"Orden INT/3514/2003, de 5 de diciembre, por la que se dispone el nombramiento de don Mariano Fernández Fernández como Subdirector General de Normativa y Recursos de la Dirección General de Tráfico.",Mariano Fernández Fernández,0,3,1,1,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-23115,"Orden INT/3514/2003, de 5 de diciembre, por la que se dispone el nombramiento de don Mariano Fernández Fernández como Subdirector General de Normativa y Recursos de la Dirección General de Tráfico.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,institutional_designated_actor,2,28,medium,medium,BOE-A-1997-2771,https://www.boe.es/buscar/doc.php?id=BOE-A-1997-2771,08/02/1997,1997-02-08,Ministerio del Interior,Orden de 24 de enero de 1997 por la que se dispone el nombramiento de don Ventura Hernando Barberán como Subdirector general de Legislación y Recursos de la Dirección General de Tráfico.,Ventura Hernando Barberán,0,3,1,1,,,https://www.boe.es/buscar/doc.php?id=BOE-A-1997-2771,Orden de 24 de enero de 1997 por la que se dispone el nombramiento de don Ventura Hernando Barberán como Subdirector general de Legislación y Recursos de la Dirección General de Tráfico.,review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,institutional_designated_actor,3,27,medium,medium,BOE-A-1996-25171,https://www.boe.es/buscar/doc.php?id=BOE-A-1996-25171,13/11/1996,1996-11-13,Ministerio del Interior,"Orden de 29 de octubre de 1996 por la que se dispone el nombramiento de doña Enriqueta Zepeda Aguilar, como Secretaría general, de la Dirección General de Tráfico.",Enriqueta Zepeda Aguilar,0,3,1,1,,,https://www.boe.es/buscar/doc.php?id=BOE-A-1996-25171,"Orden de 29 de octubre de 1996 por la que se dispone el nombramiento de doña Enriqueta Zepeda Aguilar, como Secretaría general, de la Dirección General de Tráfico.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,institutional_designated_actor,4,26,medium,medium,BOE-A-1990-16923,https://www.boe.es/buscar/doc.php?id=BOE-A-1990-16923,17/07/1990,1990-07-17,Ministerio del Interior,"Resolución de 1 de julio de 1990, de la Subsecretaría, por la que se hace público el nombramiento, por el sistema de libre designación, del funcionario don Eduardo Berzosa Alonso-Martínez para el puesto de trabajo de Subdirector general adjunto de Personal de la Dirección General de Tráfico.",,0,3,1,1,,,https://www.boe.es/buscar/doc.php?id=BOE-A-1990-16923,"Resolución de 1 de julio de 1990, de la Subsecretaría, por la que se hace público el nombramiento, por el sistema de libre designación, del funcionario don Eduardo Berzosa Alonso-Martínez para el puesto de trabajo de Subdirector general adjunto de Personal de la Dirección General de Tráfico.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,institutional_designated_actor,5,25,medium,medium,BOE-A-1983-28146,https://www.boe.es/buscar/doc.php?id=BOE-A-1983-28146,26/10/1983,1983-10-26,Ministerio del Interior,Orden de 13 de octubre de 1983 por la que se dispone el nombramiento de don Miguel María Muñoz Medina como Subdirector general de Circulación y Seguridad Vial de la Dirección General de Tráfico.,Miguel María Muñoz Medina,0,3,1,1,,,https://www.boe.es/buscar/doc.php?id=BOE-A-1983-28146,Orden de 13 de octubre de 1983 por la que se dispone el nombramiento de don Miguel María Muñoz Medina como Subdirector general de Circulación y Seguridad Vial de la Dirección General de Tráfico.,review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,institutional_designated_actor,6,24,weak,low,BOE-A-1983-26523,https://www.boe.es/buscar/doc.php?id=BOE-A-1983-26523,06/10/1983,1983-10-06,Ministerio del Interior,Orden de 29 de septiembre de 1983 por la que se dispone el nombramiento de doña María Isabel Herrarte del Alamo como Subdirectora general de Servicios de la Dirección General de Tráfico.,María Isabel Herrarte del Alamo,0,3,1,1,,,https://www.boe.es/buscar/doc.php?id=BOE-A-1983-26523,Orden de 29 de septiembre de 1983 por la que se dispone el nombramiento de doña María Isabel Herrarte del Alamo como Subdirectora general de Servicios de la Dirección General de Tráfico.,inspect_candidate,pending,
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,institutional_designated_actor,7,23,weak,low,BOE-A-1985-13094,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-13094,05/07/1985,1985-07-05,"Ministerio de Transportes, Turismo y Comunicaciones","Orden de 28 de junio de 1985 por la que se dispone el nombramiento como Subdirector general de Tráfico Marítimo, en la Dirección General de la Marina Mercante, de don Miguel Hernández Hernández.",Miguel Hernández Hernández,0,3,1,1,,,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-13094,"Orden de 28 de junio de 1985 por la que se dispone el nombramiento como Subdirector general de Tráfico Marítimo, en la Dirección General de la Marina Mercante, de don Miguel Hernández Hernández.",inspect_candidate,pending,
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,institutional_designated_actor,8,22,weak,low,BOE-A-1976-22164,https://www.boe.es/buscar/doc.php?id=BOE-A-1976-22164,05/11/1976,1976-11-05,Ministerio de Comercio,Orden de 30 de septiembre de 1976 sobre nombramiento de Subdirector general de Tráfico Marítimo de la Dirección General de Navegación a don José María Moréu Curbera.,,0,3,1,1,,,https://www.boe.es/buscar/doc.php?id=BOE-A-1976-22164,Orden de 30 de septiembre de 1976 sobre nombramiento de Subdirector general de Tráfico Marítimo de la Dirección General de Navegación a don José María Moréu Curbera.,inspect_candidate,pending,
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,missing_designated_actor,1,29,medium,medium,BOE-A-1988-24053,https://www.boe.es/buscar/doc.php?id=BOE-A-1988-24053,19/10/1988,1988-10-19,Ministerio de Asuntos Sociales,Orden de 14 de octubre de 1988 por la que se dispone el nombramiento de don Miguel José Sanz Aranda como Jefe de Inspección General de Servicios.,Miguel José Sanz Aranda,1,2,2,1,Miguel José Sanz Aranda,,https://www.boe.es/buscar/doc.php?id=BOE-A-1988-24053,Orden de 14 de octubre de 1988 por la que se dispone el nombramiento de don Miguel José Sanz Aranda como Jefe de Inspección General de Servicios.,review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,missing_designated_actor,2,28,weak,low,BOE-A-2006-5093,https://www.boe.es/buscar/doc.php?id=BOE-A-2006-5093,21/03/2006,2006-03-21,Ministerio de Defensa,"Orden DEF/795/2006, de 13 de marzo, por la que se dispone el nombramiento como Segundo Jefe de la Dirección de Infraestructura de la Inspección General del Ejército de Tierra, del General de Brigada del Cuerpo de Ingenieros Politécnicos don Gabriel Sierra Escriche.",,1,1,2,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2006-5093,"Orden DEF/795/2006, de 13 de marzo, por la que se dispone el nombramiento como Segundo Jefe de la Dirección de Infraestructura de la Inspección General del Ejército de Tierra, del General de Brigada del Cuerpo de Ingenieros Politécnicos don Gabriel Sierra Escriche.",inspect_candidate_low_institution_overlap,pending,
