link_key,pending_reason,delegated_institution_label,designated_role_title,target_group,target_label,target_url,query,priority_rank,candidate_boe_id,candidate_score,candidate_rank_for_link,candidate_publication_date_iso
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,auto_assist:role_alignment_failed:procedural_unit_non_nominative_requires_manual,AEAT,Unidad procedimental sancionadora,boe_redirector_query,boe_redirector_primary,https://www.boe.es/buscar/redirector.php?accion=Buscar&bd=boe&texto=nombramiento%20Unidad%20procedimental%20sancionadora%20AEAT,nombramiento Unidad procedimental sancionadora AEAT,1,,,,
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,auto_assist:role_alignment_failed:procedural_unit_non_nominative_requires_manual,AEAT,Unidad procedimental sancionadora,boe_redirector_query,boe_redirector_secondary,https://www.boe.es/buscar/redirector.php?accion=Buscar&bd=boe&texto=nombramiento%20AEAT,nombramiento AEAT,2,,,,
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,auto_assist:role_alignment_failed:procedural_unit_non_nominative_requires_manual,AEAT,Unidad procedimental sancionadora,boe_direct_doc,boe_direct_doc_BOE-A-2024-12397,https://www.boe.es/buscar/doc.php?id=BOE-A-2024-12397,BOE-A-2024-12397,3,BOE-A-2024-12397,29,1,2024-06-19
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,auto_assist:role_alignment_failed:procedural_unit_non_nominative_requires_manual,AEAT,Unidad procedimental sancionadora,boe_direct_doc,boe_direct_doc_BOE-A-2010-5072,https://www.boe.es/buscar/doc.php?id=BOE-A-2010-5072,BOE-A-2010-5072,4,BOE-A-2010-5072,28,2,2010-03-27
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,auto_assist:role_alignment_failed:procedural_unit_non_nominative_requires_manual,AEAT,Unidad procedimental sancionadora,boe_direct_doc,boe_direct_doc_BOE-A-2008-9974,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-9974,BOE-A-2008-9974,5,BOE-A-2008-9974,27,3,2008-06-11
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,auto_assist:role_alignment_failed:procedural_unit_non_nominative_requires_manual,AEAT,Unidad procedimental sancionadora,institutional_site,aeat_web,https://www.agenciatributaria.es/,nombramiento Unidad procedimental sancionadora AEAT,6,,,,
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,auto_assist:role_alignment_failed:procedural_unit_non_nominative_requires_manual,AEAT,Unidad procedimental sancionadora,institutional_site,aeat_web_role_exact,https://www.agenciatributaria.es/,"nombramiento ""Unidad procedimental sancionadora"" ""AEAT""",7,,,,
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,auto_assist:role_alignment_failed:procedural_unit_non_nominative_requires_manual,AEAT,Unidad procedimental sancionadora,institutional_site,aeat_sede,https://sede.agenciatributaria.gob.es/,nombramiento Unidad procedimental sancionadora AEAT,8,,,,
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,auto_assist:role_alignment_failed:procedural_unit_non_nominative_requires_manual,AEAT,Unidad procedimental sancionadora,institutional_site,aeat_sede_role_exact,https://sede.agenciatributaria.gob.es/,"nombramiento ""Unidad procedimental sancionadora"" ""AEAT""",9,,,,
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,auto_assist:role_alignment_failed:procedural_unit_non_nominative_requires_manual,AEAT,Unidad procedimental sancionadora,institutional_site,transparencia_gob,https://transparencia.gob.es/,nombramiento Unidad procedimental sancionadora AEAT,10,,,,
delegated_enforcement_v1|es:boe-a-2004-18398:fragment:articulo:bloque-procedimental-y-de-graduacion|Ministerio de Hacienda|AEAT||https://www.boe.es/buscar/act.php?id=BOE-A-2004-18398,auto_assist:role_alignment_failed:procedural_unit_non_nominative_requires_manual,AEAT,Unidad procedimental sancionadora,institutional_site,transparencia_gob_role_exact,https://transparencia.gob.es/,"nombramiento ""Unidad procedimental sancionadora"" ""AEAT""",11,,,,
