initiative_id,doc_kind,doc_url,last_http_status,attempts,last_attempt_at,last_error
senado:leg10:exp:610/000002,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000002.xml,500,10,2026-02-20T11:32:28+00:00,HTTPStatusError: HTTP 500 (playwright)
senado:leg10:exp:610/000005,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000005.xml,500,10,2026-02-20T11:32:28+00:00,HTTPStatusError: HTTP 500 (playwright)
senado:leg10:exp:610/000003,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000003.xml,500,9,2026-02-20T11:32:28+00:00,HTTPStatusError: HTTP 500 (playwright)
senado:leg10:exp:610/000004,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000004.xml,500,9,2026-02-20T11:32:28+00:00,HTTPStatusError: HTTP 500 (playwright)
senado:leg10:exp:610/000006,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000006.xml,500,9,2026-02-20T11:32:28+00:00,HTTPStatusError: HTTP 500 (playwright)
senado:leg10:exp:610/000007,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000007.xml,500,9,2026-02-20T11:32:28+00:00,HTTPStatusError: HTTP 500 (playwright)
senado:leg10:exp:610/000008,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000008.xml,500,9,2026-02-20T11:32:28+00:00,HTTPStatusError: HTTP 500 (playwright)
senado:leg10:exp:610/000009,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000009.xml,500,9,2026-02-20T11:32:28+00:00,HTTPStatusError: HTTP 500 (playwright)
senado:leg10:exp:610/000010,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000010.xml,500,9,2026-02-20T11:32:28+00:00,HTTPStatusError: HTTP 500 (playwright)
senado:leg10:exp:610/000011,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000011.xml,500,9,2026-02-20T11:32:28+00:00,HTTPStatusError: HTTP 500 (playwright)
senado:leg10:exp:610/000012,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000012.xml,500,9,2026-02-20T11:32:28+00:00,HTTPStatusError: HTTP 500 (playwright)
