initiative_id,doc_kind,doc_url,last_http_status,attempts,last_attempt_at,last_error
senado:leg10:exp:610/000112,ds,https://www.senado.es/web/ficopendataservlet?legis=10&tipoFich=12&tipoEx=610&numEx=000112,403,1,2026-02-18T10:12:46+00:00,
senado:leg12:exp:610/000080,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=610&numEx=000080,403,1,2026-02-18T10:15:20+00:00,
senado:leg12:exp:621/000004,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=621&numEx=000004,403,1,2026-02-18T10:15:20+00:00,
senado:leg12:exp:621/000009,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=621&numEx=000009,403,1,2026-02-18T10:15:20+00:00,
senado:leg12:exp:621/000010,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=621&numEx=000010,403,1,2026-02-18T10:15:20+00:00,
senado:leg12:exp:621/000011,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=621&numEx=000011,403,1,2026-02-18T10:15:20+00:00,
senado:leg12:exp:621/000012,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=621&numEx=000012,403,1,2026-02-18T10:15:20+00:00,
senado:leg12:exp:621/000013,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=621&numEx=000013,403,1,2026-02-18T10:15:20+00:00,
senado:leg12:exp:621/000014,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=621&numEx=000014,403,1,2026-02-18T10:15:20+00:00,
senado:leg12:exp:621/000016,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=621&numEx=000016,403,1,2026-02-18T10:15:20+00:00,
senado:leg12:exp:622/000021,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=622&numEx=000021,403,1,2026-02-18T10:15:20+00:00,
senado:leg12:exp:622/000024,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=622&numEx=000024,403,1,2026-02-18T10:15:20+00:00,
senado:leg12:exp:624/000006,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=624&numEx=000006,403,1,2026-02-18T10:15:20+00:00,
senado:leg12:exp:624/000009,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=624&numEx=000009,403,1,2026-02-18T10:15:20+00:00,
senado:leg12:exp:624/000011,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=624&numEx=000011,403,1,2026-02-18T10:15:20+00:00,
senado:leg12:exp:625/000002,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=625&numEx=000002,403,1,2026-02-18T10:15:20+00:00,
senado:leg14:exp:610/000042,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=610&numEx=000042,403,1,2026-02-18T10:15:20+00:00,
senado:leg14:exp:610/000044,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=610&numEx=000044,403,1,2026-02-18T10:15:20+00:00,
senado:leg14:exp:610/000046,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=610&numEx=000046,403,1,2026-02-18T10:15:20+00:00,
