fresh_rank,initiative_source_id,initiative_id,doc_kind,doc_url,source_record_pk,attempts,fetched_ok,last_http_status,last_attempt_at
1,senado_iniciativas,senado:leg10:exp:610/000001,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000001.xml,,10,,404,2026-02-20T11:56:25+00:00
2,senado_iniciativas,senado:leg10:exp:610/000034,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000034.xml,,8,,404,2026-02-20T11:56:25+00:00
3,senado_iniciativas,senado:leg10:exp:610/000035,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000035.xml,,8,,404,2026-02-20T11:56:25+00:00
4,senado_iniciativas,senado:leg10:exp:610/000036,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000036.xml,,8,,404,2026-02-20T11:56:25+00:00
5,senado_iniciativas,senado:leg10:exp:610/000037,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000037.xml,,8,,404,2026-02-20T11:56:25+00:00
6,senado_iniciativas,senado:leg10:exp:610/000038,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000038.xml,,8,,404,2026-02-20T11:56:25+00:00
7,senado_iniciativas,senado:leg10:exp:610/000039,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000039.xml,,8,,404,2026-02-20T11:56:25+00:00
8,senado_iniciativas,senado:leg10:exp:610/000040,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000040.xml,,8,,404,2026-02-20T11:56:25+00:00
9,senado_iniciativas,senado:leg10:exp:610/000041,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000041.xml,,8,,404,2026-02-20T11:56:25+00:00
10,senado_iniciativas,senado:leg10:exp:610/000042,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000042.xml,,8,,404,2026-02-20T11:56:25+00:00
11,senado_iniciativas,senado:leg10:exp:610/000043,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000043.xml,,8,,404,2026-02-20T11:56:25+00:00
12,senado_iniciativas,senado:leg10:exp:610/000044,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000044.xml,,8,,404,2026-02-20T11:56:25+00:00
13,senado_iniciativas,senado:leg10:exp:610/000045,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000045.xml,,8,,404,2026-02-20T11:56:25+00:00
14,senado_iniciativas,senado:leg10:exp:610/000046,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000046.xml,,8,,404,2026-02-20T11:56:25+00:00
15,senado_iniciativas,senado:leg10:exp:610/000047,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000047.xml,,8,,404,2026-02-20T11:56:25+00:00
16,senado_iniciativas,senado:leg10:exp:610/000048,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000048.xml,,8,,404,2026-02-20T11:56:25+00:00
17,senado_iniciativas,senado:leg10:exp:610/000049,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000049.xml,,8,,404,2026-02-20T11:56:25+00:00
18,senado_iniciativas,senado:leg10:exp:610/000050,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000050.xml,,8,,404,2026-02-20T11:56:25+00:00
19,senado_iniciativas,senado:leg10:exp:610/000051,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000051.xml,,8,,404,2026-02-20T11:56:25+00:00
20,senado_iniciativas,senado:leg10:exp:610/000052,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000052.xml,,8,,404,2026-02-20T11:56:25+00:00
21,senado_iniciativas,senado:leg10:exp:610/000053,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000053.xml,,8,,404,2026-02-20T11:56:25+00:00
22,senado_iniciativas,senado:leg10:exp:610/000054,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000054.xml,,8,,404,2026-02-20T11:56:25+00:00
23,senado_iniciativas,senado:leg10:exp:610/000055,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000055.xml,,8,,404,2026-02-20T11:56:25+00:00
24,senado_iniciativas,senado:leg10:exp:610/000087,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000087.xml,,8,,404,2026-02-20T11:56:25+00:00
25,senado_iniciativas,senado:leg10:exp:610/000088,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000088.xml,,8,,404,2026-02-20T11:56:25+00:00
26,senado_iniciativas,senado:leg10:exp:610/000089,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000089.xml,,8,,404,2026-02-20T11:56:25+00:00
27,senado_iniciativas,senado:leg10:exp:610/000090,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000090.xml,,8,,404,2026-02-20T11:56:25+00:00
28,senado_iniciativas,senado:leg10:exp:610/000091,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000091.xml,,8,,404,2026-02-20T11:56:25+00:00
29,senado_iniciativas,senado:leg10:exp:610/000092,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000092.xml,,8,,404,2026-02-20T11:56:25+00:00
30,senado_iniciativas,senado:leg10:exp:610/000093,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000093.xml,,8,,404,2026-02-20T11:56:25+00:00
31,senado_iniciativas,senado:leg10:exp:610/000094,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000094.xml,,8,,404,2026-02-20T11:56:25+00:00
32,senado_iniciativas,senado:leg10:exp:610/000095,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000095.xml,,8,,404,2026-02-20T11:56:25+00:00
33,senado_iniciativas,senado:leg10:exp:610/000106,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000106.xml,,8,,404,2026-02-20T11:56:25+00:00
34,senado_iniciativas,senado:leg10:exp:610/000107,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000107.xml,,8,,404,2026-02-20T11:56:25+00:00
35,senado_iniciativas,senado:leg10:exp:610/000108,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000108.xml,,8,,404,2026-02-20T11:56:25+00:00
36,senado_iniciativas,senado:leg10:exp:610/000125,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000125.xml,,8,,404,2026-02-20T11:56:25+00:00
37,senado_iniciativas,senado:leg10:exp:610/000136,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000136.xml,,8,,404,2026-02-20T11:56:25+00:00
38,senado_iniciativas,senado:leg10:exp:610/000148,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000148.xml,,8,,404,2026-02-20T11:56:25+00:00
39,senado_iniciativas,senado:leg10:exp:610/000149,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000149.xml,,8,,404,2026-02-20T11:56:25+00:00
40,senado_iniciativas,senado:leg10:exp:610/000150,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000150.xml,,8,,404,2026-02-20T11:56:25+00:00
41,senado_iniciativas,senado:leg10:exp:610/000114,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000114,,7,,404,2026-03-01T01:08:24+00:00
42,senado_iniciativas,senado:leg10:exp:610/000115,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000115,,7,,404,2026-03-01T01:08:24+00:00
