priority,review_id,issue_id,issue_label,entries_total,actors_total,first_date,last_date,current_primary_cluster_id,current_cluster_ids,current_matches,route,decision,reviewed_primary_cluster_id,reviewed_cluster_ids,reviewer,reviewed_at,rationale,next_action
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3248,policy-event:boe:boe_api_legal:BOE-A-2026-3248,"Acuerdo de 2 de febrero de 2026, de la Comisión Permanente del Consejo General del Poder Judicial, por el que se convoca concurso para la provisión de cargos judiciales entre miembros de la Judicial, con categoría de Ma...",1,1,2026-02-12,2026-02-12,international-relations-treaties,"[""international-relations-treaties""]","[{""cluster_id"": ""international-relations-treaties"", ""issue_review_status"": ""heuristic"", ""label"": ""Relaciones internacionales, tratados y acuerdos exteriores"", ""matched_keywords"": [""acuerdo""], ""method"": ""label_keyword_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3248-1d95aru/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,"Judicial career magistrate competition belongs in justice governance, not international relations.",copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3207,policy-event:boe:boe_api_legal:BOE-A-2026-3207,"Acuerdo internacional administrativo entre la Diputación de Barcelona del Reino de España y el Programa de las Naciones Unidas para los Asentamientos Humanos a través de su División de Programas Regionales, hecho en Nai...",1,1,2026-02-12,2026-02-12,international-relations-treaties,"[""international-relations-treaties""]","[{""cluster_id"": ""international-relations-treaties"", ""issue_review_status"": ""heuristic"", ""label"": ""Relaciones internacionales, tratados y acuerdos exteriores"", ""matched_keywords"": [""acuerdo"", ""naciones unidas"", ""reino de espana""], ""method"": ""label_keyword_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3207-1d95av5/,set_clusters,international-relations-treaties,"[""international-relations-treaties""]",Dev,2026-05-11,International administrative agreement with UN-Habitat.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3206,policy-event:boe:boe_api_legal:BOE-A-2026-3206,"Corrección de errores del Real Decreto-ley 1/2026, de 27 de enero, de ayudas a las víctimas de los accidentes ferroviarios de Adamuz (Córdoba) y Gélida (Barcelona).",1,1,2026-02-12,2026-02-12,other-official-actions,"[""other-official-actions""]","[{""cluster_id"": ""other-official-actions"", ""issue_review_status"": ""heuristic"", ""label"": ""Otras actuaciones oficiales pendientes de agrupacion manual"", ""matched_keywords"": [], ""method"": ""fallback_manual_grouping_needed_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3206-1d95av4/,set_clusters,other-official-actions,"[""other-official-actions""]",Dev,2026-05-11,Rail accident victim aid correction; no dedicated transport/disaster cluster in current taxonomy.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3216,policy-event:boe:boe_api_legal:BOE-A-2026-3216,"Ley 4/2025, de 17 de diciembre, de reconocimiento de la universidad privada «IE Universidad Madrid».",1,1,2026-02-12,2026-02-12,education-culture,"[""education-culture""]","[{""cluster_id"": ""education-culture"", ""issue_review_status"": ""heuristic"", ""label"": ""Educacion, cultura, universidades y formacion"", ""matched_keywords"": [""universidad""], ""method"": ""label_keyword_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3216-1d95axt/,set_clusters,education-culture,"[""education-culture""]",Dev,2026-05-11,Private university recognition.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3217,policy-event:boe:boe_api_legal:BOE-A-2026-3217,"Ley 5/2025, de 23 de diciembre, de Hacienda de la Comunidad de Madrid.",1,1,2026-02-12,2026-02-12,other-official-actions,"[""other-official-actions""]","[{""cluster_id"": ""other-official-actions"", ""issue_review_status"": ""heuristic"", ""label"": ""Otras actuaciones oficiales pendientes de agrupacion manual"", ""matched_keywords"": [], ""method"": ""fallback_manual_grouping_needed_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3217-1d95axs/,set_clusters,public-finance-taxation,"[""public-finance-taxation""]",Dev,2026-05-11,Regional finance law.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3218,policy-event:boe:boe_api_legal:BOE-A-2026-3218,"Ley 6/2025, de 23 de diciembre, de Presupuestos Generales de la Comunidad de Madrid para el año 2026.",1,1,2026-02-12,2026-02-12,public-finance-taxation,"[""public-finance-taxation""]","[{""cluster_id"": ""public-finance-taxation"", ""issue_review_status"": ""heuristic"", ""label"": ""Hacienda publica, presupuestos e impuestos"", ""matched_keywords"": [""presupuestos""], ""method"": ""label_keyword_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3218-1d95ay7/,set_clusters,public-finance-taxation,"[""public-finance-taxation""]",Dev,2026-05-11,Regional budget law.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3277,policy-event:boe:boe_api_legal:BOE-A-2026-3277,"Orden APA/85/2026, de 9 de febrero, por la que se modifica el Anexo III de la Orden APA/423/2020, de 18 de mayo, por la que se establece un plan de gestión para la conservación de los recursos pesqueros demersales en el...",1,1,2026-02-12,2026-02-12,other-official-actions,"[""other-official-actions""]","[{""cluster_id"": ""other-official-actions"", ""issue_review_status"": ""heuristic"", ""label"": ""Otras actuaciones oficiales pendientes de agrupacion manual"", ""matched_keywords"": [], ""method"": ""fallback_manual_grouping_needed_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3277-1d95asm/,set_clusters,agriculture-food-rural,"[""agriculture-food-rural""]",Dev,2026-05-11,Fishing resources management plan.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:boe-appointment:boe:boe_api_legal:BOE-A-2026-3239,boe-appointment:boe:boe_api_legal:BOE-A-2026-3239,"Orden EFD/84/2026, de 11 de febrero, por la que se dispone el cese de don Carlos Sánchez Heras como Director del Gabinete del Secretario de Estado de Educación.",1,1,2026-02-12,2026-02-12,education-culture,"[""education-culture""]","[{""cluster_id"": ""education-culture"", ""issue_review_status"": ""heuristic"", ""label"": ""Educacion, cultura, universidades y formacion"", ""matched_keywords"": [""educacion""], ""method"": ""label_keyword_v1""}]",/accountability-dossiers/issues/boe-appointment-boe-boe-api-legal-boe-a-2026-3239-kyd31j/,set_clusters,education-culture,"[""education-culture""]",Dev,2026-05-11,Education state secretary cabinet dismissal belongs in education governance.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3239,policy-event:boe:boe_api_legal:BOE-A-2026-3239,"Orden EFD/84/2026, de 11 de febrero, por la que se dispone el cese de don Carlos Sánchez Heras como Director del Gabinete del Secretario de Estado de Educación.",1,1,2026-02-12,2026-02-12,education-culture,"[""education-culture""]","[{""cluster_id"": ""education-culture"", ""issue_review_status"": ""heuristic"", ""label"": ""Educacion, cultura, universidades y formacion"", ""matched_keywords"": [""educacion""], ""method"": ""label_keyword_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3239-1d95awc/,set_clusters,education-culture,"[""education-culture""]",Dev,2026-05-11,Education state secretary cabinet dismissal belongs in education governance.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
60,issue-cluster-assignment-review:policy-event:boe:boe_api_legal:BOE-A-2026-3237,policy-event:boe:boe_api_legal:BOE-A-2026-3237,"Orden INT/83/2026, de 4 de febrero, por la que se aprueba la relación escalafonal de la Policía Nacional, cerrada a 31 de enero de 2026.",1,1,2026-02-12,2026-02-12,other-official-actions,"[""other-official-actions""]","[{""cluster_id"": ""other-official-actions"", ""issue_review_status"": ""heuristic"", ""label"": ""Otras actuaciones oficiales pendientes de agrupacion manual"", ""matched_keywords"": [], ""method"": ""fallback_manual_grouping_needed_v1""}]",/accountability-dossiers/issues/policy-event-boe-boe-api-legal-boe-a-2026-3237-1d95aw2/,set_clusters,justice-security-rights,"[""justice-security-rights""]",Dev,2026-05-11,National Police seniority roster belongs in security governance.,copy_decision_template_to_accountability_issue_cluster_issue_reviews_seed_v1
