table_name,row_count,size_mb
parl_vote_member_votes,1778370,877.559
lost_and_found,1724076,367.082
topic_positions,480175,71.672
topic_evidence,431682,375.918
source_records,173087,381.668
person_identifiers,154331,15.215
mandates,145582,72.762
persons,136447,19.648
indicator_observation_records,37431,36.766
indicator_points,37431,2.941
territories,15402,1.453
person_public_data_queue,10640,6.230
text_documents,9570,36.082
document_fetches,9390,4.012
parl_initiative_documents,9135,1.777
parl_initiative_doc_extractions,8932,18.375
parl_vote_event_initiatives,8358,2.828
parl_vote_events,8357,287.270
institutions,8160,0.984
parl_initiatives,4715,14.680
party_aliases,4006,0.379
parties,2704,0.223
indicator_series,2400,9.391
policy_events,1821,3.719
ingestion_runs,864,0.336
run_fetches,682,0.234
topic_evidence_reviews,487,0.090
topics,401,0.117
topic_set_topics,260,0.031
infoelectoral_proceso_resultados,191,0.191
infoelectoral_archivos_extraccion,188,0.152
raw_fetches,132,0.055
legal_fragment_responsibility_evidence,99,0.172
roles,88,0.016
infoelectoral_procesos,71,0.039
infoelectoral_convocatorias,69,0.031
sources,44,0.016
sanction_municipal_ordinances,20,0.020
liberty_enforcement_observations,16,0.023
legal_fragment_responsibilities,15,0.035
legal_norms,12,0.047
liberty_indirect_responsibility_edges,12,0.023
liberty_restriction_assessments,11,0.027
sanction_infraction_type_mappings,10,0.016
sanction_infraction_types,10,0.004
sanction_volume_observations,9,0.016
sanction_volume_sources,9,0.016
legal_norm_fragments,8,0.012
legal_norm_lineage_edges,8,0.012
liberty_delegated_enforcement_links,8,0.020
liberty_proportionality_reviews,8,0.020
sanction_norm_catalog,8,0.043
sanction_norm_fragment_links,8,0.004
infoelectoral_convocatoria_tipos,6,0.004
liberty_right_categories,6,0.004
policy_instruments,6,0.004
sanction_procedural_metrics,6,0.004
topic_sets,5,0.004
admin_levels,4,0.004
genders,3,0.004
sanction_municipal_ordinance_fragments,3,0.004
sanction_procedural_kpi_definitions,3,0.004
liberty_delegated_enforcement_methodologies,1,0.004
liberty_enforcement_methodologies,1,0.004
liberty_indirect_methodologies,1,0.004
liberty_irlc_methodologies,1,0.004
liberty_proportionality_methodologies,1,0.004
causal_estimates,0,0.004
domains,0,0.004
intervention_events,0,0.004
interventions,0,0.004
money_contract_records,0,0.004
money_subsidy_records,0,0.004
person_name_aliases,0,0.004
policy_axes,0,0.004
policy_event_axis_scores,0,0.004
