review_item_id,priority_rank,priority_score,review_batch_id,priority_reason,topic_id,topic_label,boja_id,fragment_id,date,organisation,type,action_kind,review_status,impact_status,responsibility_status,candidate_direction,claim_status,evidence_tier,evidence_excerpt,review_hint,review_questions,source_url,detail_url,source_locator
boja-impact-review-disposition-2025-251-2-vivienda-f01,1,74,boja-impact-review-batch-001,accion=modifica_norma:40; tema=vivienda:18; fecha=31/12/2025:16; total=74,vivienda,Vivienda,disposition.2025.251.2,disposition-2025-251-2-vivienda-f01,31/12/2025,Presidencia,Leyes,modifica_norma,reviewed_legal_change_only,legal_change_documented_outcome_pending,official_publisher_observed,unknown,reviewed_boja_legal_change_no_merit_claim,tier_1_primary,"Por lo que se refiere al impuesto sobre transmisiones patrimoniales y actos jurídicos documentados, se modifica la regulación del tipo reducido en la modalidad de transmisiones patrimoniales onerosas para la adquisición de viviendas para su reventa...","Identificar norma modificada, direccion material del cambio y organo responsable.","legal_change: Que norma, plan, ayuda o regla cambia este fragmento? | citizen_direction: La direccion ciudadana es mejora, recorte, redistribucion, restriccion o sin efecto claro? | responsible_actor: Que organo, persona o partido puede atribuirse con fuente primaria? | impact_evidence_gap: Que presupuesto, ejecucion u outcome falta para validar impacto real?",https://juntadeandalucia.es/eboja/2025/251/BOJA25-251-00087-17435-01_00331032.pdf,https://datos.juntadeandalucia.es/api/v0/boja/disposition.2025.251.2,disposition.2025.251.2::body::1
boja-impact-review-disposition-2025-251-1-empleo-f01,2,73,boja-impact-review-batch-001,accion=deroga_norma:42; tema=empleo:15; fecha=31/12/2025:16; total=73,empleo,Empleo,disposition.2025.251.1,disposition-2025-251-1-empleo-f01,31/12/2025,Presidencia,Leyes,deroga_norma,reviewed_legal_change_only,legal_change_documented_outcome_pending,official_publisher_observed,unknown,reviewed_boja_legal_change_no_merit_claim,tier_1_primary,"El régimen jurídico de estos bienes estaba regulado en el capítulo II del Decreto-ley 16/2020, de 16 de junio, por el que, con carácter extraordinario y urgente, se establecen medidas en materia de empleo, así como...","Identificar norma derogada, efecto real y quien impulso o aprobo la derogacion.","legal_change: Que norma, plan, ayuda o regla cambia este fragmento? | citizen_direction: La direccion ciudadana es mejora, recorte, redistribucion, restriccion o sin efecto claro? | responsible_actor: Que organo, persona o partido puede atribuirse con fuente primaria? | impact_evidence_gap: Que presupuesto, ejecucion u outcome falta para validar impacto real?",https://juntadeandalucia.es/eboja/2025/251/BOJA25-251-00107-17440-01_00331037.pdf,https://datos.juntadeandalucia.es/api/v0/boja/disposition.2025.251.1,disposition.2025.251.1::body::1
boja-impact-review-disposition-2026-86-3-fiscalidad-f01,3,71,boja-impact-review-batch-001,accion=modifica_norma:40; tema=fiscalidad:13; fecha=07/05/2026:18; total=71,fiscalidad,Fiscalidad,disposition.2026.86.3,disposition-2026-86-3-fiscalidad-f01,07/05/2026,Parlamento de Andalucía,Resoluciones,modifica_norma,reviewed_legal_change_only,legal_change_documented_outcome_pending,official_publisher_observed,unknown,reviewed_boja_legal_change_no_merit_claim,tier_1_primary,"Resolución de 28 de abril de 2026, de la Secretaría General del Parlamento de Andalucía, por la que se ordena la publicación del acuerdo de convalidación del Decreto-ley 4/2026, de 15 de abril, por el que...","Identificar norma modificada, direccion material del cambio y organo responsable.","legal_change: Que norma, plan, ayuda o regla cambia este fragmento? | citizen_direction: La direccion ciudadana es mejora, recorte, redistribucion, restriccion o sin efecto claro? | responsible_actor: Que organo, persona o partido puede atribuirse con fuente primaria? | impact_evidence_gap: Que presupuesto, ejecucion u outcome falta para validar impacto real?",https://juntadeandalucia.es/eboja/2026/86/BOJA26-086-00001-5967-01_00337203.pdf,https://datos.juntadeandalucia.es/api/v0/boja/disposition.2026.86.3,disposition.2026.86.3::summaryNoHtml::1
boja-impact-review-disposition-2026-86-3-fiscalidad-f02,4,71,boja-impact-review-batch-001,accion=modifica_norma:40; tema=fiscalidad:13; fecha=07/05/2026:18; total=71,fiscalidad,Fiscalidad,disposition.2026.86.3,disposition-2026-86-3-fiscalidad-f02,07/05/2026,Parlamento de Andalucía,Resoluciones,modifica_norma,needs_human_review,unreviewed,actor_not_attributed,unknown,impact_review_queue_only_no_public_claim,tier_1_primary,"La Diputación Permanente del Parlamento de Andalucía, en sesión celebrada el día 28 de abril de 2026, de conformidad con lo dispuesto en el artículo 110.2 del Estatuto de Autonomía para Andalucía, y en el apartado...","Identificar norma modificada, direccion material del cambio y organo responsable.","legal_change: Que norma, plan, ayuda o regla cambia este fragmento? | citizen_direction: La direccion ciudadana es mejora, recorte, redistribucion, restriccion o sin efecto claro? | responsible_actor: Que organo, persona o partido puede atribuirse con fuente primaria? | impact_evidence_gap: Que presupuesto, ejecucion u outcome falta para validar impacto real?",https://juntadeandalucia.es/eboja/2026/86/BOJA26-086-00001-5967-01_00337203.pdf,https://datos.juntadeandalucia.es/api/v0/boja/disposition.2026.86.3,disposition.2026.86.3::bodyNoHtml::2
boja-impact-review-disposition-2026-74-1-fiscalidad-f01,5,71,boja-impact-review-batch-001,accion=modifica_norma:40; tema=fiscalidad:13; fecha=20/04/2026:18; total=71,fiscalidad,Fiscalidad,disposition.2026.74.1,disposition-2026-74-1-fiscalidad-f01,20/04/2026,"Consejería de Sanidad, Presidencia y Emergencias",Decretos-leyes,modifica_norma,reviewed_legal_change_only,legal_change_documented_outcome_pending,official_publisher_observed,unknown,reviewed_boja_legal_change_no_merit_claim,tier_1_primary,"Decreto-ley 4/2026, de 15 de abril, por el que se modifica el Decreto-ley 1/2026, de 25 de febrero, por el que se adoptan con carácter urgente medidas de apoyo fiscal por los daños producidos por el...","Identificar norma modificada, direccion material del cambio y organo responsable.","legal_change: Que norma, plan, ayuda o regla cambia este fragmento? | citizen_direction: La direccion ciudadana es mejora, recorte, redistribucion, restriccion o sin efecto claro? | responsible_actor: Que organo, persona o partido puede atribuirse con fuente primaria? | impact_evidence_gap: Que presupuesto, ejecucion u outcome falta para validar impacto real?",https://juntadeandalucia.es/eboja/2026/74/BOJA26-074-00004-5173-01_00336410.pdf,https://datos.juntadeandalucia.es/api/v0/boja/disposition.2026.74.1,disposition.2026.74.1::summaryNoHtml::1
boja-impact-review-disposition-2026-74-1-fiscalidad-f02,6,71,boja-impact-review-batch-001,accion=modifica_norma:40; tema=fiscalidad:13; fecha=20/04/2026:18; total=71,fiscalidad,Fiscalidad,disposition.2026.74.1,disposition-2026-74-1-fiscalidad-f02,20/04/2026,"Consejería de Sanidad, Presidencia y Emergencias",Decretos-leyes,modifica_norma,needs_human_review,unreviewed,actor_not_attributed,unknown,impact_review_queue_only_no_public_claim,tier_1_primary,"Modificación del Decreto-ley 1/2026, de 25 de febrero, por el que se adoptan con carácter urgente medidas de apoyo fiscal por los daños producidos por el impacto de borrascas en la Comunidad Autónoma de Andalucía, y...","Identificar norma modificada, direccion material del cambio y organo responsable.","legal_change: Que norma, plan, ayuda o regla cambia este fragmento? | citizen_direction: La direccion ciudadana es mejora, recorte, redistribucion, restriccion o sin efecto claro? | responsible_actor: Que organo, persona o partido puede atribuirse con fuente primaria? | impact_evidence_gap: Que presupuesto, ejecucion u outcome falta para validar impacto real?",https://juntadeandalucia.es/eboja/2026/74/BOJA26-074-00004-5173-01_00336410.pdf,https://datos.juntadeandalucia.es/api/v0/boja/disposition.2026.74.1,disposition.2026.74.1::body::2
boja-impact-review-disposition-2025-251-2-campo-agua-f01,7,71,boja-impact-review-batch-001,accion=modifica_norma:40; tema=campo_agua:15; fecha=31/12/2025:16; total=71,campo_agua,Campo y agua,disposition.2025.251.2,disposition-2025-251-2-campo-agua-f01,31/12/2025,Presidencia,Leyes,modifica_norma,reviewed_legal_change_only,legal_change_documented_outcome_pending,official_publisher_observed,unknown,reviewed_boja_legal_change_no_merit_claim,tier_1_primary,"En particular, se modifican el artículo 67 y la disposición adicional decimoctava, con el fin de clarificar el régimen de reclamaciones frente a los cánones autonómicos sobre el agua y de adaptarlo a la Jurisprudencia del...","Identificar norma modificada, direccion material del cambio y organo responsable.","legal_change: Que norma, plan, ayuda o regla cambia este fragmento? | citizen_direction: La direccion ciudadana es mejora, recorte, redistribucion, restriccion o sin efecto claro? | responsible_actor: Que organo, persona o partido puede atribuirse con fuente primaria? | impact_evidence_gap: Que presupuesto, ejecucion u outcome falta para validar impacto real?",https://juntadeandalucia.es/eboja/2025/251/BOJA25-251-00087-17435-01_00331032.pdf,https://datos.juntadeandalucia.es/api/v0/boja/disposition.2025.251.2,disposition.2025.251.2::body::1
boja-impact-review-disposition-2025-251-2-campo-agua-f02,8,71,boja-impact-review-batch-001,accion=modifica_norma:40; tema=campo_agua:15; fecha=31/12/2025:16; total=71,campo_agua,Campo y agua,disposition.2025.251.2,disposition-2025-251-2-campo-agua-f02,31/12/2025,Presidencia,Leyes,modifica_norma,reviewed_legal_change_only,legal_change_documented_outcome_pending,official_publisher_observed,unknown,reviewed_boja_legal_change_no_merit_claim,tier_1_primary,"La Ley 9/2010, de 30 de julio, de Aguas de Andalucía, se modifica en los siguientes términos:","Identificar norma modificada, direccion material del cambio y organo responsable.","legal_change: Que norma, plan, ayuda o regla cambia este fragmento? | citizen_direction: La direccion ciudadana es mejora, recorte, redistribucion, restriccion o sin efecto claro? | responsible_actor: Que organo, persona o partido puede atribuirse con fuente primaria? | impact_evidence_gap: Que presupuesto, ejecucion u outcome falta para validar impacto real?",https://juntadeandalucia.es/eboja/2025/251/BOJA25-251-00087-17435-01_00331032.pdf,https://datos.juntadeandalucia.es/api/v0/boja/disposition.2025.251.2,disposition.2025.251.2::body::2
boja-impact-review-disposition-2025-251-2-empleo-f01,9,71,boja-impact-review-batch-001,accion=modifica_norma:40; tema=empleo:15; fecha=31/12/2025:16; total=71,empleo,Empleo,disposition.2025.251.2,disposition-2025-251-2-empleo-f01,31/12/2025,Presidencia,Leyes,modifica_norma,reviewed_legal_change_only,legal_change_documented_outcome_pending,official_publisher_observed,unknown,reviewed_boja_legal_change_no_merit_claim,tier_1_primary,El órgano directivo competente en materia de provisión de puestos de trabajo de la Consejería competente en materia de administración pública podrá aprobar los expedientes de modificación de plantilla presupuestaria que se requieran en la ejecución...,"Identificar norma modificada, direccion material del cambio y organo responsable.","legal_change: Que norma, plan, ayuda o regla cambia este fragmento? | citizen_direction: La direccion ciudadana es mejora, recorte, redistribucion, restriccion o sin efecto claro? | responsible_actor: Que organo, persona o partido puede atribuirse con fuente primaria? | impact_evidence_gap: Que presupuesto, ejecucion u outcome falta para validar impacto real?",https://juntadeandalucia.es/eboja/2025/251/BOJA25-251-00087-17435-01_00331032.pdf,https://datos.juntadeandalucia.es/api/v0/boja/disposition.2025.251.2,disposition.2025.251.2::body::1
boja-impact-review-disposition-2025-251-2-empleo-f02,10,71,boja-impact-review-batch-001,accion=modifica_norma:40; tema=empleo:15; fecha=31/12/2025:16; total=71,empleo,Empleo,disposition.2025.251.2,disposition-2025-251-2-empleo-f02,31/12/2025,Presidencia,Leyes,modifica_norma,needs_human_review,unreviewed,actor_not_attributed,unknown,impact_review_queue_only_no_public_claim,tier_1_primary,Corresponde a la Consejería competente en materia de sector público instrumental aprobar los expedientes de modificación de plantilla presupuestaria derivados de la oferta de empleo público del personal laboral no incluido en el VI Convenio Colectivo...,"Identificar norma modificada, direccion material del cambio y organo responsable.","legal_change: Que norma, plan, ayuda o regla cambia este fragmento? | citizen_direction: La direccion ciudadana es mejora, recorte, redistribucion, restriccion o sin efecto claro? | responsible_actor: Que organo, persona o partido puede atribuirse con fuente primaria? | impact_evidence_gap: Que presupuesto, ejecucion u outcome falta para validar impacto real?",https://juntadeandalucia.es/eboja/2025/251/BOJA25-251-00087-17435-01_00331032.pdf,https://datos.juntadeandalucia.es/api/v0/boja/disposition.2025.251.2,disposition.2025.251.2::body::2
