amount_cents,amount_decimal,authority,authority_id,award_key,award_ordinal,capture_path,contract_id,currency,decision_date,entry_sha256,entry_updated_at,lot_id,money_fact_id,source_record_id,source_snapshot_date,source_url,supplier,supplier_id,supplier_id_scheme,title,supplier_source_text,authority_source_text
350637,3506.37,Gerencia del Área de Salud de Cáceres,Q0600413I,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/16928661#0,0,evidence/2eb32d533b439978896e77f1f0e83c050e4281a90b1000f96d54c2c02276c238.xml,CSE/05/1125011970/25/EAM,EUR,2025-01-01,2eb32d533b439978896e77f1f0e83c050e4281a90b1000f96d54c2c02276c238,2025-03-17T09:21:32.852+01:00,,contract_award:00000000000000101423,2aef6cb15ddba8160f5ba3d40d72fb3ebf9b8e6a5a9ba5073474c1efe894a111,2025-03-31,https://contrataciondelestado.es/wps/poc?uri=deeplink%3Adetalle_licitacion&idEvl=1wJ9zJCjYDZVYjgxA4nMUw%3D%3D,IDCQ HOSPITALES Y SANIDAD SLU,B87324844,NIF,Contrato basado en el Acuerdo Marco con varias empresas para la realización de procedimientos quirúrgicos (Paracelso) en el ámbito del Servicio Extremeño de Salud (CSE/99/1123009462/23/AM)-Área de Salud de Cáceres. LOTE 6,IDCQ HOSPITALES Y SANIDAD SLU,Gerencia del Área de Salud de Cáceres
78016529,780165.29,Gerencia Sector Sanitario de Teruel,Q5000442C,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/16761055#0,0,evidence/9e2eb49e0016af43c43772fb4d5c5f684ff2ecefd23c13055934c611bba64364.xml,SAS_TE_2025_HCA_12,EUR,2025-01-01,9e2eb49e0016af43c43772fb4d5c5f684ff2ecefd23c13055934c611bba64364,2025-02-24T09:00:00.000+01:00,,contract_award:00000000000000066505,2f9fa004e458d5d425831148ffc867be2e68c322a8ed05ff369b8748de7f9230,2025-03-31,https://contrataciondelestado.es/wps/poc?uri=deeplink%3Adetalle_licitacion&idEvl=ftJ9JK9ADkFVYjgxA4nMUw%3D%3D,"GAS NATURAL COMERCIALIZADORA, S.A",A61797536,NIF,Suministro de gas natural para los centros de Atención Primaria y Especializada del Sector de Teruel,"GAS NATURAL COMERCIALIZADORA, S.A",Gerencia Sector Sanitario de Teruel
100000,1000,"Jefatura de Unidad de Medios Internos -Área de Compras de la Compañía Española de Seguros de Crédito a la Exportación S.A., S.M.E. (CESCE)",A28264034,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/17319288#0,0,evidence/501b085b0b1ab352b8918f3669b7686095ced765f936393fc215822df87fefa8.xml,F03-2025,EUR,2025-01-01,501b085b0b1ab352b8918f3669b7686095ced765f936393fc215822df87fefa8,2025-05-21T13:05:52.008+02:00,,contract_award:00000000000000194118,37205ccfcfc46d4a865b1c5725374ad3dcf0b538bc1b6ca51cf70942c1e2327c,2025-06-30,https://contrataciondelestado.es/wps/poc?uri=deeplink%3Adetalle_licitacion&idEvl=BoYbXtKaEpGsNfRW6APEDw%3D%3D,CAMARA HISPANO PORTUGUESA,G28263275,NIF,Cuota socio Cámara Hispano Portuguesa 2025, CAMARA HISPANO PORTUGUESA,"Jefatura de Unidad de Medios Internos -Área de Compras de la Compañía Española de Seguros de Crédito a la Exportación S.A., S.M.E. (CESCE)"
807896,8078.96,"Consejo de Administración de Personas y Ciudad, S.A Unipersonal",A53531323,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/17061002#0,0,evidence/5b93d80987a21c7a2c71abd74d8d77bbe73f6f550ab28f244191b21a2f179416.xml,T1_2025_MARZO_LIMPIEZA,EUR,2025-01-01,5b93d80987a21c7a2c71abd74d8d77bbe73f6f550ab28f244191b21a2f179416,2025-04-04T12:55:21.390+02:00,,contract_award:00000000000000130622,4852280c122701fb61368ff252e76a8619a63a9b02d4d14545a9dad1cce16f1c,2025-06-30,https://contrataciondelestado.es/wps/poc?uri=deeplink%3Adetalle_licitacion&idEvl=%2Bm%2FsG03x%2Bw%2BFlFRHfEzEaw%3D%3D,"MUÑOZ BOSCH,S.L.U",B97828446,NIF,Suministro de material de limpieza derivado del contrato marco 3_2023.,"MUÑOZ BOSCH,S.L.U","Consejo de Administración de Personas y Ciudad, S.A Unipersonal"
22126260,221262.6,Gerencia del Área de Salud de Cáceres,Q0600413I,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/16761057#0,0,evidence/29ab3cd96ff317b2b6e94a59ab951b6d956513e37bcd8ac20da19388ab8539c8.xml,CSE/05/1125000662/25/EAM. LOTE 2,EUR,2025-01-01,29ab3cd96ff317b2b6e94a59ab951b6d956513e37bcd8ac20da19388ab8539c8,2025-02-24T09:00:00.000+01:00,,contract_award:00000000000000066506,cfc45d40605dc7cc36f5372559366145305b2d60ffa1b689cc41d01c4e65161c,2025-03-31,https://contrataciondelestado.es/wps/poc?uri=deeplink%3Adetalle_licitacion&idEvl=IMR4yRdBCq43vLk2DU2Ddg%3D%3D,"SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS, S.A. S.M.E.",A83052407,NIF,"Contrato basado en el acuerdo marco para la prestación de servicios postales en la Junta de Extremadura, sus organismos autónomos y otros entes adheridos. Lotes 1 y 2. (expediente: PRAM/2024/0000042130) para el Área de Salud de Cáceres. Lote 2","SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS,  S.A. S.M.E. ",Gerencia del Área de Salud de Cáceres
85082645,850826.45,Gerencia Sector Sanitario de Teruel,Q5000442C,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/16722458#0,0,evidence/c237b262a00ecb583b4a3030d4435b700d7f5d80065d7e9aadeee465bf17de88.xml,SAS_TE_2025_HCA_4,EUR,2025-01-01,c237b262a00ecb583b4a3030d4435b700d7f5d80065d7e9aadeee465bf17de88,2025-02-19T10:07:48.874+01:00,,contract_award:00000000000000063890,dfcac8e4300abcb93481e41d7a287555ba9da5c60271e125743fa8354e8e2d4b,2025-03-31,https://contrataciondelestado.es/wps/poc?uri=deeplink%3Adetalle_licitacion&idEvl=XneYqkMbFtHpxJFXpLZ%2B2A%3D%3D,"ENDESA ENERGÍA, S.A.U.",A81948077,NIF,Suministro de electricidad para los centros de atención especializada y atención primaria del sector de Teruel,"ENDESA ENERGÍA, S.A.U.",Gerencia Sector Sanitario de Teruel
1709094,17090.94,Gerencia del Área de Salud de Cáceres,Q0600413I,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/16743217#0,0,evidence/4f201e0eac395b2bc29238aa0ed03a2f729ae4fb07d4efd76149cc2b6ee495b0.xml,CSE/05/1125000662/25/EAM. LOTE 1,EUR,2025-01-01,4f201e0eac395b2bc29238aa0ed03a2f729ae4fb07d4efd76149cc2b6ee495b0,2025-02-21T13:57:38.452+01:00,,contract_award:00000000000000068162,e55aa304b51ee280567028fbe92a1065e687e6bcbeb3423a11cbb071c40f9b60,2025-03-31,https://contrataciondelestado.es/wps/poc?uri=deeplink%3Adetalle_licitacion&idEvl=aDo2hxwxoqM2wEhQbcAqug%3D%3D,"SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS, S.A. S.M.E.",A83052407,NIF,"Contrato basado en el acuerdo marco para la prestación de servicios postales en la junta de Extremadura, sus organismos autónomos y otros entes adheridos. Lotes 1 y 2 (expediente: PRAM/24/0000042130) para el Área de Salud de Cáceres. Lote 1","SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS,  S.A. S.M.E. ",Gerencia del Área de Salud de Cáceres
6611570,66115.7,Gerencia Sector Sanitario de Teruel,Q5000442C,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/16761185#0,0,evidence/d8d2b47889c99227fd5cb5ba4e98f90d63358f3aff71951d2ff036ff11f00085.xml,SAS_TE_2025_HCA_7,EUR,2025-01-01,d8d2b47889c99227fd5cb5ba4e98f90d63358f3aff71951d2ff036ff11f00085,2025-02-20T12:11:47.767+01:00,,contract_award:00000000000000070745,ff2581c432d337d8855068ce71a0db656370e546b292a0df41c238e12d01da2f,2025-03-31,https://contrataciondelestado.es/wps/poc?uri=deeplink%3Adetalle_licitacion&idEvl=DVfnnIcV7dlWhbmkna2nXQ%3D%3D,"REPSOL COMERCIAL DE PRODUCTOS PETROLÍFEROS, S.A",A80298839,NIF,"Suministro de Gasóleo calefacción (C) para los Centros de Salud de Albarracín, Alfambra, Aliaga, Calamocha, Mosqueruela, Santa Eulalia y Villel","REPSOL COMERCIAL DE PRODUCTOS PETROLÍFEROS, S.A",Gerencia Sector Sanitario de Teruel
4158549,41585.49,Servicio Cántabro de Salud,Q3900738J,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/16416303#0,0,evidence/6d25b54cd28a5ecb022543181183ad0c4be4644abcb0a045144e9162e80dcc54.xml,CB HL AM 2021/110 1P 2 lote 1,EUR,2025-01-02,6d25b54cd28a5ecb022543181183ad0c4be4644abcb0a045144e9162e80dcc54,2025-01-03T09:23:43.627+01:00,,contract_award:00000000000000002764,09349c3825c3f371104adfe2d4a5e8c70f6ae73b3ff2e3c5979f527d93703a01,2025-03-31,https://contrataciondelestado.es/wps/poc?uri=deeplink%3Adetalle_licitacion&idEvl=nT3N8OAeihq7JOCXkOhcDg%3D%3D,GILEAD SCIENCES S.L.,B80754799,NIF,"Contrato basado en el Acuerdo Marco SCS 2021/110 (lote 1), para el suministro de medicamentos antivirales exclusivos en el Hospital Comarcal de Laredo.",GILEAD SCIENCES S.L.,Servicio Cántabro de Salud
3172500,31725,"Consejo de Administración de Promociones e Iniciativas Municipales de Elche, S.A. (PIMESA)",A03475001,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/16921188#0,0,evidence/c0d195fb630211f3d59ca0da3233ffe9385774bb8d1df48e97cbbe35f3f0295a.xml,2023/CSD/191,EUR,2025-01-02,c0d195fb630211f3d59ca0da3233ffe9385774bb8d1df48e97cbbe35f3f0295a,2025-03-12T17:38:00.658+01:00,1,contract_award:00000000000000100221,0c2fd5c708b693a24eee30c5b14d2f24d36b6a2a0562894bdf6ee1fcd9f320ce,2025-03-31,https://contrataciondelestado.es/wps/poc?uri=deeplink%3Adetalle_licitacion&idEvl=p3L2UcfSJp0wYTJJ03sHog%3D%3D,"Repsol Comercial de Productos Petrolíferos, S.A.",A80298839,NIF,"Suministro de combustible de automoción, Gasolina 95 Sin Plomo, para su venta en la Estación de Servicio, ubicada en la Estación de Autobuses de Elche gestionada por PIMESA.","Repsol Comercial de Productos Petrolíferos, S.A.","Consejo de Administración de Promociones e Iniciativas Municipales de Elche, S.A. (PIMESA)"
